Index,brand,name,price,product_link,rating,product_type
75,maybelline,Maybelline Eye Studio Color Tattoo 24HR Cream Gel Shadow Leather,8.99,https://well.ca/products/maybelline-eye-studio-color-tattoo_95143.html,4.3,eyeshadow
76,maybelline,Maybelline The Nudes Eyeshadow Palette in The Blushed Nudes,17.99,https://well.ca/products/maybelline-the-nudes-eyeshadow_107498.html,4.5,eyeshadow
77,maybelline,Maybelline Eye Studio Color Tattoo 24HR Cream Gel Shadow,8.99,https://well.ca/products/maybelline-eye-studio-color-tattoo_50692.html,4.5,eyeshadow
78,maybelline,Maybelline Eye Studio Color Tattoo 24HR Cream Gel Shadow ,8.99,https://well.ca/products/maybelline-eye-studio-color-tattoo_67270.html,4,eyeshadow
79,maybelline,Maybelline Line Express Eyeliner,7.29,https://well.ca/products/maybelline-line-express-eyeliner_9738.html,4.5,eyeliner
80,maybelline,Maybelline Unstoppable Eyeliner,8.99,https://well.ca/products/maybelline-unstoppable-eyeliner_3737.html,4.3,eyeliner
81,maybelline,Maybelline Color Show Kohl Liner,5.99,https://well.ca/products/maybelline-color-show-kohl-liner_101020.html,,eyeliner
82,maybelline,Maybelline Eye Studio Master Graphic in Striking Black,11.99,https://well.ca/products/maybelline-eye-studio-master-graphic_112723.html,,eyeliner
83,maybelline,Maybelline EyeStudio Master Precise Ink Pen Eyeliner,11.99,https://well.ca/products/maybelline-eyestudio-master-precise_40535.html,4,eyeliner
84,maybelline,Maybelline Line Stiletto Ultimate Precision Liquid Eyeliner,10.29,https://well.ca/products/maybelline-line-stiletto-ultimate_17295.html,4,eyeliner
85,maybelline,Maybelline Liquid Eyeliner,10.99,https://well.ca/products/maybelline-liquid-eyeliner_3739.html,4.2,eyeliner
86,maybelline,Maybelline Eye Studio Lasting Drama Gel Eyeliner,11.99,https://well.ca/products/maybelline-eye-studio-lasting-drama_23247.html,4.4,eyeliner
87,maybelline,Maybelline Color Show Nail Lacquer Jewels ,4.49,https://well.ca/products/maybelline-color-show-nail-lacquer_96730.html,3,nail_polish
